Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,38240.0,47784.0,57225.0,26366.0,14713.0,8796.0
2021.0,40526.0,46941.0,57225.0,26973.0,32438.0,8955.0
2020.0,37665.0,42684.0,57225.0,33454.0,32399.0,9726.0
2019.0,35905.0,38433.0,57225.0,31335.0,31017.0,10937.0
2018.0,34142.89,37420.19,49506.02,31300.34,34091.03,8400.85
2017.0,32140.0,34117.0,49926.0,34539.0,36370.0,9385.0
2016.0,27497.0,28489.0,42874.0,30491.0,29929.0,9230.0
2015.0,22633.0,22300.0,38817.0,28917.0,27312.0,7070.0
2014.0,18833.0,18499.0,38267.0,26266.0,25414.0,7391.0
2013.0,18553.0,17854.0,32962.0,23426.0,26405.0,6776.0
2012.0,17021.63,16553.48,27317.5,22114.18,20475.67,6363.32
2011.0,16851.95,15517.9,28543.18,23701.64,24919.55,5666.76
2010.0,17782.0,17151.0,28680.0,23413.0,22452.0,5520.0
2009.0,13799.0,13224.0,20385.0,16857.0,19091.0,6075.0
2008.0,12418.0,11648.0,19541.0,16554.0,17148.0,6416.0
2007.0,11553.26,10661.24,15739.81,15151.61,17584.92,6517.19
2006.0,8279.51,7375.41,12180.82,13554.71,14964.64,5115.53
2005.0,6788.09,6162.13,9826.97,13517.04,13827.69,3525.41
2004.0,5052.93,4747.14,9826.97,10725.86,8402.79,4233.95
2003.0,4737.0,4456.0,7416.0,10645.0,10189.15,4595.7
2002.0,4764.0,4467.0,8295.0,13167.0,7892.0,4912.0
