Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,18576.0,20233.0,19735.0,16503.0,14064.0,6003.0
2021.0,19070.0,20386.0,19735.0,19393.0,16853.0,6787.0
2020.0,16726.0,17645.0,19735.0,16185.0,14990.0,6415.0
2019.0,15304.0,16303.0,19735.0,14795.0,14731.0,5005.0
2018.0,14443.0,15242.01,20148.97,14833.18,15346.49,5032.4
2017.0,12855.0,13430.0,15779.0,13661.0,13906.0,5343.0
2016.0,11121.0,11447.0,14695.0,11330.0,12329.0,4463.0
2015.0,10525.0,10755.0,12883.0,10551.0,11626.0,4425.0
2014.0,10526.0,10586.0,13127.0,11118.0,13466.0,4389.0
2013.0,11042.0,11016.0,14747.0,13917.0,13971.0,4288.0
2012.0,10642.58,10679.69,14081.1,12742.74,12186.23,4482.12
2011.0,9838.06,9801.15,14921.98,11903.22,11765.72,4266.67
2010.0,9258.0,9332.0,12507.0,11033.0,10627.0,3710.0
2009.0,7826.0,7890.0,10299.0,8674.0,9049.0,3595.0
2008.0,6262.0,6144.0,9424.0,9716.0,7446.0,3180.0
2007.0,5786.03,5623.27,9602.69,7748.68,8181.51,3663.69
2006.0,4774.44,4510.12,7131.44,7148.06,7455.36,3179.77
2005.0,4279.97,3973.04,6411.66,5892.76,7348.36,3122.4
2004.0,3108.19,2785.68,6411.66,5422.52,5605.15,2332.57
2003.0,2737.0,2451.0,4276.0,3525.0,5190.42,2240.89
2002.0,2387.0,2128.0,3339.0,3929.0,4446.0,1769.0
