Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022,10163,6559.0,3604.0,6.71,7.64,-0.93
2021,10170,6503.0,3667.0,7.38,7.36,0.02
2020,10165,6409.0,3756.0,7.38,7.36,0.02
2019,10106,6252.0,3854.0,11.77,7.5,4.27
2018,10077,6193.0,3884.0,13.26,7.18,6.08
2017,10033,6099.0,3934.0,17.54,7.4,10.14
2016,9973,5897.0,4076.0,17.89,7.05,10.84
2015,9866,5621.0,4245.0,12.55,6.67,5.88
2014,9808,5372.0,4436.0,14.23,6.84,7.39
2013,9746,5210.0,4536.0,11.41,6.4,5.01
2012,9708,5051.0,4657.0,11.9,6.95,4.95
2011,9665,4916.0,4749.0,11.5,6.4,5.1
2010,9588,4765.0,4823.0,11.65,6.26,5.39
2009,9470,4576.0,4894.0,11.7,6.08,5.62
2008,9417,4483.0,4935.0,11.25,6.16,5.09
2007,9367,4379.0,4988.0,11.11,6.11,5.0
2006,9309,4291.0,5017.0,11.6,6.1,5.5
2005,9248,4162.0,5086.0,12.14,6.31,5.83
2004,9180,4162.0,5086.0,12.5,6.49,6.01
2003,9125,4162.0,5086.0,11.42,6.64,4.78
2002,9082,4162.0,5086.0,11.17,6.62,4.55
