Years,Land area to be developed by real estate development enterprises (10k/m2),Land area purchased by real estate development companies (10k/m2),Land transaction price of real estate development enterprises (100million/yuan),Land purchase costs for real estate development companies (100million/yuan)
2022,1083.54,972.32,1714.21,6627.09
2021,1262.07,1913.1,2927.53,5614.7
2020,1372.46,2042.81,2916.61,5192.07
2019,1804.31,1686.48,1860.46,5364.02
2018,1765.43,3026.02,3002.82,5597.85
2017,1139.94,2248.87,2102.79,3353.67
2016,1125.34,1302.96,967.78,2634.37
2015,1302.72,1012.58,574.93,2510.48
2014,1770.46,1887.92,964.49,2680.59
2013,1460.75,1760.73,1006.73,2121.73
2012,1908.69,1256.11,650.29,1948.75
2011,2614.05,2188.8,1047.0,1379.69
2010,1488.9,1959.9,979.9,1138.0
2009,1310.9,1308.3,780.82,697.1
2008,2059.5,1834.3,460.01,604.4
2007,1421.48,1829.26,495.56,631.87
2006,1418.16,1891.12,428.98,428.98
2005,730.59,1801.87,365.4,416.41
2004,1509.33,2339.37,420.91,410.39
2003,1509.33,3407.94,468.74,339.0
2002,1624.4,3639.6,468.74,252.1
