Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,5799.0,5744.0,9748.0,6823.0,8515.0,2298.0
2021.0,5807.0,5623.0,9748.0,7226.0,8956.0,3509.0
2020.0,5807.0,5600.0,9748.0,7546.0,9236.0,3226.0
2019.0,5980.0,5480.0,9748.0,7358.0,10877.0,3794.0
2018.0,5636.77,5129.19,8797.92,8182.09,9615.9,3752.66
2017.0,4771.0,4165.0,8820.0,6667.0,8719.0,3737.0
2016.0,4307.0,3704.0,6813.0,7012.0,7865.0,3381.0
2015.0,4415.0,3629.0,7069.0,6620.0,9347.0,3356.0
2014.0,4312.0,3694.0,8073.0,6782.0,8653.0,4274.0
2013.0,4295.0,3735.0,8940.0,7314.0,10257.0,4056.0
2012.0,4115.67,3695.36,11980.45,8158.17,9629.79,3493.13
2011.0,3888.78,3489.71,6976.16,6041.22,8634.29,4748.19
2010.0,3357.0,3142.0,6937.0,5228.0,7015.0,3268.0
2009.0,2874.0,2642.0,5570.0,4605.0,7176.0,2909.0
2008.0,2339.0,2122.0,4738.0,3672.0,5967.0,2935.0
2007.0,2136.74,1899.36,3525.95,4261.9,5479.12,2182.12
2006.0,1779.82,1583.52,3672.12,3760.35,4198.28,2426.54
2005.0,1606.59,1307.56,2896.5,3213.06,4642.62,2518.38
2004.0,1385.02,1181.43,2896.5,1964.56,3274.86,3726.29
2003.0,1313.0,1143.0,2684.0,2553.0,2857.44,1213.26
2002.0,1238.0,1068.0,1136.0,2721.0,2686.0,1387.0
