Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,6133.0,6073.0,10262.0,10665.0,7107.0,4313.0
2021.0,6521.0,6438.0,10262.0,10416.0,7939.0,5157.0
2020.0,6641.0,6549.0,10262.0,11064.0,7463.0,5698.0
2019.0,6311.0,6176.0,10262.0,10444.0,7525.0,5215.0
2018.0,5757.69,5530.6,10450.69,10056.46,7687.71,5171.84
2017.0,5355.0,5038.0,10155.0,9555.0,7658.0,5691.0
2016.0,4964.0,4774.0,8193.0,8143.0,6766.0,4477.0
2015.0,4611.0,4317.0,7755.0,8239.0,7162.0,5273.0
2014.0,4366.0,3909.0,9038.0,9049.0,7891.0,7359.0
2013.0,4205.0,3835.0,7854.0,9110.0,7518.0,3679.0
2012.0,3831.23,3511.26,6583.81,8820.36,7657.21,3543.71
2011.0,3500.8,3123.15,6193.57,9303.08,7524.14,3270.65
2010.0,3042.0,2856.0,4997.0,8276.0,5563.0,3203.0
2009.0,2666.0,2501.0,3479.0,4511.0,5202.0,2319.0
2008.0,2339.0,2138.0,3618.0,4367.0,5065.0,1933.0
2007.0,2253.43,2081.22,3447.28,3590.17,4393.91,1391.63
2006.0,2011.84,1842.63,2814.21,3456.38,3853.98,1514.55
2005.0,1866.95,1658.68,2571.79,3058.55,3764.74,1325.53
2004.0,1572.9,1443.31,2571.79,2462.42,2856.76,1098.28
2003.0,1388.0,1289.0,1276.0,2081.0,2756.1,1570.64
2002.0,1380.0,1291.0,2450.0,2572.0,2543.0,1079.0
