Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,9884.0,10016.0,13188.0,14203.0,10026.0,4768.0
2021.0,9733.0,9680.0,13188.0,15099.0,13449.0,5256.0
2020.0,9828.0,9624.0,13188.0,14743.0,12930.0,5954.0
2019.0,8998.0,8798.0,13188.0,12117.0,12175.0,6884.0
2018.0,8273.4,7921.85,12701.24,11625.41,11766.6,5893.46
2017.0,6840.0,6477.0,10897.0,10519.0,10368.0,5564.0
2016.0,5471.0,5264.0,8905.0,8260.0,8744.0,5381.0
2015.0,5362.0,5082.0,7090.0,8887.0,9209.0,4893.0
2014.0,5166.0,4823.0,9973.0,9213.0,10753.0,5330.0
2013.0,5280.0,4991.0,9128.0,7411.0,10493.0,7256.0
2012.0,5155.88,4803.05,9603.1,8092.53,10646.69,5636.06
2011.0,4949.2,4705.28,9024.03,8671.79,10124.16,4970.81
2010.0,3759.0,3668.0,7812.0,5516.0,6260.0,3541.0
2009.0,3223.0,3113.0,5368.0,5123.0,6034.0,3064.0
2008.0,2952.0,2821.0,5589.0,5571.0,5056.0,3149.0
2007.0,2622.0,2487.38,5191.4,4232.53,5746.32,3285.7
2006.0,2461.32,2297.07,4420.58,4128.85,6579.22,2876.05
2005.0,2059.61,1930.33,3309.81,3587.21,5181.39,1654.55
2004.0,1731.03,1597.66,3309.81,3961.38,3348.15,1800.28
2003.0,1534.0,1390.0,3502.0,4111.0,2729.0,1493.19
2002.0,1554.0,1481.0,3296.0,3431.0,1969.0,1361.0
