Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,7132.0,8526.0,11325.0,10936.0,7811.0,2631.0
2021.0,8699.0,9678.0,11325.0,8299.0,8211.0,2704.0
2020.0,8255.0,8917.0,11325.0,11998.0,8477.0,2986.0
2019.0,8402.0,8657.0,11325.0,12230.0,10113.0,3232.0
2018.0,8066.86,8189.98,11222.21,10911.6,10428.92,3293.23
2017.0,6792.0,6605.0,11107.0,9623.0,9926.0,3612.0
2016.0,5485.0,5162.0,8572.0,9239.0,8884.0,3426.0
2015.0,5486.0,5012.0,8991.0,10188.0,10441.0,3272.0
2014.0,5519.0,5094.0,9455.0,11147.0,10725.0,3414.0
2013.0,5569.0,5239.0,9941.0,11370.0,10780.0,3984.0
2012.0,5079.93,4804.8,8273.43,11494.76,9575.57,3068.52
2011.0,4733.84,4492.3,8794.66,11687.32,8132.34,3303.51
2010.0,4281.0,4040.0,7337.0,9537.0,8003.0,2967.0
2009.0,3442.0,3266.0,6120.0,5175.0,7145.0,4120.0
2008.0,2785.0,2640.0,6322.0,4667.0,5432.0,2489.0
2007.0,2722.58,2588.22,5263.23,4186.62,5134.73,2081.5
2006.0,2269.21,2081.31,4381.89,3301.94,4552.87,2181.71
2005.0,2134.99,1900.66,4294.88,2407.84,4461.94,1949.88
2004.0,1766.24,1572.56,4294.88,2486.19,3344.97,2041.31
2003.0,1596.0,1324.0,3361.0,2478.0,3661.43,1589.38
2002.0,1556.0,1277.0,2849.0,2387.0,3653.0,1537.0
