Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022.0,2184.0,1913.0,271.0,5.67,5.72,-0.05
2021.0,2189.0,1916.0,273.0,6.35,5.39,0.96
2020.0,2189.0,1916.0,273.0,6.35,5.39,0.96
2019.0,2190.0,1913.0,277.0,8.12,5.49,2.63
2018.0,2192.0,1909.0,283.0,8.24,5.58,2.66
2017.0,2194.0,1907.0,287.0,9.06,5.3,3.76
2016.0,2195.0,1904.0,291.0,9.32,5.2,4.12
2015.0,2188.0,1897.0,291.0,7.96,4.95,3.01
2014.0,2171.0,1878.0,293.0,9.75,4.92,4.83
2013.0,2125.0,1836.0,289.0,8.93,4.52,4.41
2012.0,2078.0,1793.0,285.0,9.05,4.31,4.74
2011.0,2024.0,1745.0,279.0,8.29,4.27,4.02
2010.0,1962.0,1686.0,275.0,7.48,4.41,3.07
2009.0,1860.0,1581.0,279.0,8.06,4.56,3.5
2008.0,1771.0,1504.0,267.0,8.17,4.75,3.42
2007.0,1676.0,1416.0,260.0,8.32,4.92,3.4
2006.0,1601.0,1350.0,251.0,6.26,4.97,1.29
2005.0,1538.0,1286.0,252.0,6.29,5.2,1.09
2004.0,1493.0,1286.0,252.0,6.1,5.4,0.7
2003.0,1456.0,1286.0,252.0,5.1,5.2,-0.1
2002.0,1423.0,1286.0,252.0,6.6,5.7,0.9
