Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022.0,4188.0,2937.0,1251.0,7.07,6.52,0.55
2021.0,4187.0,2918.0,1269.0,8.26,6.28,1.98
2020.0,4161.0,2861.0,1300.0,8.26,6.28,1.98
2019.0,4137.0,2808.0,1329.0,12.9,6.1,6.8
2018.0,4104.0,2749.0,1355.0,13.2,6.2,7.0
2017.0,4065.0,2674.0,1391.0,15.0,6.2,8.8
2016.0,4016.0,2586.0,1430.0,14.5,6.2,8.3
2015.0,3984.0,2519.0,1465.0,13.9,6.1,7.8
2014.0,3945.0,2446.0,1499.0,13.7,6.2,7.5
2013.0,3885.0,2362.0,1523.0,12.2,6.01,6.19
2012.0,3841.0,2278.0,1563.0,12.74,5.73,7.01
2011.0,3784.0,2199.0,1585.0,11.41,5.2,6.21
2010.0,3693.0,2109.0,1584.0,11.27,5.16,6.11
2009.0,3666.0,2020.0,1646.0,12.2,6.0,6.2
2008.0,3639.0,1929.0,1710.0,12.2,5.9,6.3
2007.0,3612.0,1857.0,1755.0,11.9,5.9,6.0
2006.0,3585.0,1807.0,1778.0,12.0,5.75,6.25
2005.0,3557.0,1757.0,1800.0,11.6,5.62,5.98
2004.0,3529.0,1757.0,1800.0,11.58,5.62,5.96
2003.0,3502.0,1757.0,1800.0,11.43,5.58,5.85
2002.0,3476.0,1757.0,1800.0,11.35,5.57,5.78
