Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022,2475,2211.0,264.0,4.35,5.96,-1.61
2021,2489,2223.0,266.0,4.67,5.59,-0.92
2020,2488,2222.0,266.0,4.67,5.59,-0.92
2019,2481,2214.0,267.0,7.0,5.5,1.5
2018,2475,2206.0,269.0,7.2,5.4,1.8
2017,2466,2197.0,269.0,8.1,5.3,2.8
2016,2467,2196.0,271.0,9.0,5.0,4.0
2015,2458,2176.0,282.0,7.52,5.07,2.45
2014,2467,2203.0,264.0,8.35,5.21,3.14
2013,2448,2193.0,255.0,8.18,5.24,2.94
2012,2399,2142.0,257.0,9.56,5.36,4.2
2011,2356,2104.0,252.0,6.97,5.1,1.87
2010,2303,2056.0,246.0,7.05,5.07,1.98
2009,2210,1958.0,252.0,8.64,5.94,2.7
2008,2141,1897.0,244.0,8.89,6.17,2.72
2007,2064,1830.0,233.0,9.07,6.03,3.04
2006,1964,1742.0,222.0,7.47,5.89,1.58
2005,1890,1684.0,206.0,7.04,6.08,0.96
2004,1835,1684.0,206.0,6.0,6.0,0.0
2003,1766,1684.0,206.0,4.85,6.2,-1.35
2002,1713,1684.0,206.0,5.41,5.95,-0.54
