Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022.0,3856.0,2114.0,1742.0,11.03,7.32,3.71
2021.0,3852.0,2093.0,1759.0,12.17,7.19,4.98
2020.0,3858.0,2051.0,1807.0,12.17,7.19,4.98
2019.0,3848.0,1981.0,1867.0,13.65,6.95,6.7
2018.0,3822.0,1893.0,1929.0,13.9,6.85,7.05
2017.0,3803.0,1816.0,1987.0,13.98,6.88,7.1
2016.0,3758.0,1712.0,2046.0,13.43,6.93,6.5
2015.0,3708.0,1593.0,2115.0,13.0,7.2,5.8
2014.0,3677.0,1480.0,2197.0,12.98,7.18,5.8
2013.0,3632.0,1376.0,2256.0,13.05,7.15,5.9
2012.0,3587.0,1302.0,2285.0,13.27,6.96,6.31
2011.0,3530.0,1237.0,2293.0,13.31,6.93,6.38
2010.0,3479.0,1176.0,2303.0,13.96,6.55,7.41
2009.0,3537.0,1057.0,2480.0,13.65,6.69,6.96
2008.0,3596.0,1047.0,2549.0,13.49,6.77,6.72
2007.0,3632.0,1026.0,2606.0,13.28,6.6,6.68
2006.0,3690.0,1013.0,2677.0,13.97,6.71,7.26
2005.0,3730.0,1002.0,2728.0,14.59,7.21,7.38
2004.0,3904.0,1002.0,2728.0,15.08,6.35,8.73
2003.0,3870.0,1002.0,2728.0,15.91,6.87,9.04
2002.0,3837.0,1002.0,2728.0,17.96,7.21,10.75
