Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022,9872,5633.0,4239.0,7.42,7.5,-0.08
2021,9883,5579.0,4304.0,8.0,7.36,0.64
2020,9941,5510.0,4431.0,8.0,7.36,0.64
2019,9901,5348.0,4553.0,11.02,6.84,4.18
2018,9864,5153.0,4711.0,11.72,6.8,4.92
2017,9829,4970.0,4859.0,12.95,6.97,5.98
2016,9778,4770.0,5008.0,13.26,7.11,6.15
2015,9701,4561.0,5140.0,12.7,7.05,5.65
2014,9645,4345.0,5300.0,12.8,7.02,5.78
2013,9573,4174.0,5399.0,12.27,6.76,5.51
2012,9532,4002.0,5530.0,11.87,6.71,5.16
2011,9461,3829.0,5632.0,11.56,6.62,4.94
2010,9405,3621.0,5784.0,11.52,6.57,4.95
2009,9487,3577.0,5910.0,11.45,6.46,4.99
2008,9429,3397.0,6032.0,11.42,6.45,4.97
2007,9360,3214.0,6146.0,11.26,6.32,4.94
2006,9392,3050.0,6342.0,11.59,6.27,5.32
2005,9380,2875.0,6505.0,11.55,6.3,5.25
2004,9717,2875.0,6505.0,11.67,6.47,5.2
2003,9667,2875.0,6505.0,12.1,6.46,5.64
2002,9613,2875.0,6505.0,12.41,6.38,6.03
