Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022,4528,2811.0,1717.0,7.19,6.94,0.25
2021,4517,2776.0,1741.0,8.34,6.71,1.63
2020,4519,2731.0,1788.0,8.34,6.71,1.63
2019,4516,2668.0,1848.0,12.59,6.03,6.56
2018,4513,2588.0,1925.0,13.43,6.06,7.37
2017,4511,2513.0,1998.0,13.79,6.08,7.71
2016,4496,2427.0,2069.0,13.45,6.16,7.29
2015,4485,2346.0,2139.0,13.2,6.24,6.96
2014,4480,2265.0,2215.0,13.24,6.26,6.98
2013,4476,2195.0,2281.0,13.19,6.28,6.91
2012,4475,2121.0,2354.0,13.46,6.14,7.32
2011,4474,2047.0,2427.0,13.48,5.98,7.5
2010,4462,1966.0,2496.0,13.72,6.06,7.66
2009,4432,1914.0,2518.0,13.87,5.98,7.89
2008,4400,1820.0,2580.0,13.92,6.01,7.91
2007,4368,1739.0,2630.0,13.86,5.99,7.87
2006,4339,1678.0,2661.0,13.8,6.01,7.79
2005,4311,1595.0,2716.0,13.79,5.96,7.83
2004,4284,1595.0,2716.0,13.61,5.99,7.62
2003,4254,1595.0,2716.0,14.07,5.98,8.09
2002,4222,1595.0,2716.0,14.74,6.02,8.72
