Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022,3956,2532.0,1424.0,7.36,7.64,-0.28
2021,3954,2516.0,1438.0,7.89,7.38,0.51
2020,3955,2478.0,1477.0,7.89,7.38,0.51
2019,3944,2417.0,1527.0,10.55,6.28,4.27
2018,3931,2345.0,1586.0,10.67,6.24,4.43
2017,3904,2267.0,1637.0,11.11,6.24,4.87
2016,3874,2185.0,1689.0,10.64,6.23,4.41
2015,3846,2105.0,1741.0,10.1,6.28,3.82
2014,3827,2029.0,1798.0,10.13,6.26,3.87
2013,3804,1962.0,1842.0,10.01,6.15,3.86
2012,3787,1883.0,1904.0,10.12,6.24,3.88
2011,3765,1783.0,1982.0,9.75,6.06,3.69
2010,3735,1709.0,2026.0,9.73,6.01,3.72
2009,3727,1621.0,2106.0,10.24,6.24,4.0
2008,3718,1565.0,2153.0,10.29,6.21,4.08
2007,3708,1506.0,2202.0,10.21,6.16,4.05
2006,3699,1447.0,2252.0,10.19,6.15,4.04
2005,3690,1374.0,2316.0,10.02,6.01,4.01
2004,3681,1374.0,2316.0,10.59,6.33,4.26
2003,3672,1374.0,2316.0,10.67,6.38,4.29
2002,3662,1374.0,2316.0,10.48,6.36,4.12
