Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%)
2022,3213,2280.0,933.0,5.98,8.09,-2.11
2021,3212,2259.0,953.0,6.49,8.04,-1.55
2020,3209,2229.0,980.0,6.49,8.04,-1.55
2019,3188,2175.0,1013.0,10.48,7.57,2.91
2018,3163,2107.0,1056.0,11.02,7.54,3.48
2017,3144,2044.0,1100.0,11.18,7.27,3.91
2016,3110,1970.0,1140.0,11.77,7.24,4.53
2015,3070,1887.0,1183.0,11.05,7.19,3.86
2014,3043,1818.0,1225.0,10.67,7.05,3.62
2013,3011,1755.0,1256.0,10.37,6.77,3.6
2012,2975,1685.0,1290.0,10.86,6.86,4.0
2011,2944,1619.0,1325.0,9.88,6.71,3.17
2010,2885,1529.0,1355.0,9.17,6.4,2.77
2009,2859,1475.0,1384.0,9.9,6.2,3.7
2008,2839,1419.0,1420.0,10.1,6.3,3.8
2007,2816,1360.0,1456.0,10.1,6.3,3.8
2006,2808,1311.0,1497.0,9.9,6.5,3.4
2005,2798,1265.0,1533.0,9.4,6.4,3.0
2004,2793,1265.0,1533.0,9.45,6.6,2.85
2003,2803,1265.0,1533.0,9.89,7.2,2.69
2002,2814,1265.0,1533.0,9.36,6.08,3.28
