Years,商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米)
2022.0,10771.0,12189.0,,9645.0,11423.0,5058.0
2021.0,11779.0,12653.0,,11076.0,12409.0,5832.0
2020.0,11348.0,12175.0,,10516.0,12221.0,5269.0
2019.0,10748.0,11205.0,15031.0,12847.0,11099.0,5683.0
2018.0,10589.18,10612.64,14523.66,15784.36,12783.88,6556.73
2017.0,9746.0,9284.0,15557.0,17560.0,12279.0,6678.0
2016.0,9218.0,9175.0,14003.0,12143.0,11569.0,5573.0
2015.0,8881.0,8565.0,14633.0,12551.0,12653.0,6514.0
2014.0,9136.0,8843.0,14040.0,11131.0,13017.0,7603.0
2013.0,9050.0,8618.0,14085.0,13723.0,15412.0,5952.0
2012.0,8646.05,8365.92,14467.77,12117.39,12483.6,5056.95
2011.0,7764.29,7451.95,14286.23,10354.3,14347.4,3763.29
2010.0,6256.0,6077.0,11277.0,8732.0,10239.0,3310.0
2009.0,5427.0,5366.0,7910.0,6273.0,9749.0,2690.0
2008.0,4384.0,4498.0,7334.0,5386.0,8303.0,1686.0
2007.0,4684.34,4475.95,8694.96,4734.14,8478.41,2943.64
2006.0,3993.96,3655.74,6289.62,5377.46,8918.7,2250.54
2005.0,3161.67,2800.86,5558.02,4293.36,8511.99,2207.25
2004.0,2559.68,2296.71,,3073.77,5776.77,2238.82
2003.0,2297.0,2053.0,3344.0,2899.0,4823.43,1523.7
2002.0,2152.0,1744.0,2857.0,2674.0,5258.0,1526.0
,,,,,,
