Years,商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米)
2022.0,8393.0,8635.0,,11046.0,8981.0,3591.0
2021.0,8517.0,8743.0,,10773.0,9680.0,3828.0
2020.0,8338.0,8492.0,,10223.0,9646.0,4074.0
2019.0,8070.0,8126.0,12261.0,10568.0,9688.0,4022.0
2018.0,7481.16,7386.25,13129.82,10896.24,8950.7,5373.16
2017.0,6319.0,6153.0,10876.0,9787.0,8796.0,4138.0
2016.0,5855.0,5728.0,11481.0,9411.0,7807.0,4210.0
2015.0,5560.0,5290.0,10051.0,9290.0,7975.0,4213.0
2014.0,5315.0,5029.0,9179.0,9686.0,8224.0,3903.0
2013.0,5049.0,4797.0,9856.0,9305.0,8034.0,3990.0
2012.0,4763.01,4556.63,10039.27,8696.32,7082.66,3658.56
2011.0,4447.73,4298.78,8156.58,7696.95,6445.03,3592.16
2010.0,3944.0,3809.0,9280.0,6606.0,5703.0,2964.0
2009.0,3505.0,3390.0,8787.0,7379.0,5119.0,2260.0
2008.0,2970.0,2851.0,7256.0,5601.0,4601.0,2440.0
2007.0,2904.14,2799.25,5058.8,6430.43,4195.57,2238.95
2006.0,2540.5,2399.94,5984.24,6816.89,3841.09,2512.04
2005.0,2425.22,2294.63,4679.49,5848.14,3549.5,2867.02
2004.0,2045.29,1885.87,,5099.97,3008.58,1464.61
2003.0,1698.0,1624.0,3448.0,2150.0,2443.06,1172.54
2002.0,1605.0,1535.0,4195.0,3307.0,2100.0,937.0
,,,,,,
