Years,商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米)
2022.0,40302.0,44430.0,,40033.0,26028.0,6588.0
2021.0,36102.0,40974.0,,37289.0,26830.0,5942.0
2020.0,33798.0,36741.0,,46181.0,23714.0,6481.0
2019.0,30677.0,32926.0,64003.0,37890.0,29003.0,7041.0
2018.0,26890.08,28981.11,65458.33,32963.78,26475.07,7208.05
2017.0,23804.0,24866.0,54399.0,31753.0,26249.0,6024.0
2016.0,24747.0,25910.0,42735.0,29477.0,22854.0,5120.0
2015.0,20949.0,21501.0,37415.0,24754.0,20043.0,5136.0
2014.0,16787.0,16415.0,33415.0,24978.0,22014.0,6105.0
2013.0,16420.0,16192.0,28917.0,23623.0,19294.0,4732.0
2012.0,14061.37,13869.88,28195.63,20999.59,16217.95,4223.08
2011.0,14603.24,13565.83,26396.13,25996.8,19526.84,6266.42
2010.0,14464.0,14290.0,24952.0,18888.0,15779.0,7200.0
2009.0,12840.0,12364.0,22131.0,21598.0,15237.0,6860.0
2008.0,8195.0,8115.0,12792.0,11783.0,6610.0,5529.0
2007.0,8361.0,8253.0,12999.32,14223.4,6613.0,5595.0
2006.0,7196.0,7039.0,10835.0,12077.99,6479.0,5580.1
2005.0,6842.0,6698.0,7719.83,11866.8,7101.0,4983.01
2004.0,5855.0,5761.21,,9654.76,6308.37,4342.25
2003.0,5118.0,4989.0,6539.0,9711.0,6461.87,4239.98
2002.0,4134.0,4007.0,5787.0,8343.0,4968.0,3489.0
,,,,,,
