Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,8553.0,8524.0,,12036.0,9645.0,5621.0
2021.0,9130.0,9100.0,,14305.0,11332.0,4925.0
2020.0,9241.0,9140.0,,17254.0,11966.0,4637.0
2019.0,9012.0,8665.0,11932.0,19923.0,12745.0,8157.0
2018.0,8495.27,8135.76,9845.72,16906.21,11743.63,7660.28
2017.0,7675.0,7307.0,9037.0,14474.0,10794.0,7695.0
2016.0,6724.0,6457.0,9086.0,11889.0,9651.0,7610.0
2015.0,5863.0,5663.0,8208.0,7867.0,8667.0,4780.0
2014.0,5513.0,5085.0,7902.0,10470.0,9916.0,5066.0
2013.0,5266.0,4847.0,8475.0,8384.0,9898.0,5847.0
2012.0,5042.79,4668.0,9865.64,12282.03,8744.46,3956.65
2011.0,4486.39,4142.13,8547.37,8088.6,8502.7,5038.76
2010.0,3743.0,3506.0,6659.0,5534.0,7712.0,3588.0
2009.0,3532.0,3413.0,7046.0,4419.0,6423.0,2903.0
2008.0,3001.0,2898.0,6191.0,5122.0,4863.0,3513.0
2007.0,3053.12,2937.45,6880.33,4608.0,5143.14,2413.91
2006.0,2555.66,2422.14,4282.49,3992.36,5225.29,2209.22
2005.0,2263.26,2163.65,4297.34,2665.16,4048.55,1452.57
2004.0,1671.67,1599.13,,3172.63,2687.56,1702.67
2003.0,1506.0,1452.0,2555.0,2476.0,2759.24,1316.44
2002.0,1456.0,1408.0,2284.0,1847.0,1899.0,1787.0
,,,,,,
