Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,6372.0,6268.0,,9011.0,8454.0,4054.0
2021.0,6574.0,6481.0,,10524.0,8493.0,3991.0
2020.0,6302.0,6141.0,,11007.0,8910.0,4282.0
2019.0,6127.0,5848.0,9191.0,12025.0,9808.0,3882.0
2018.0,5794.89,5473.14,8428.69,11304.55,9553.1,3855.97
2017.0,5228.0,4846.0,8089.0,9101.0,8877.0,4011.0
2016.0,4640.0,4330.0,6955.0,8968.0,8213.0,3869.0
2015.0,4304.0,3974.0,7318.0,8233.0,8076.0,3485.0
2014.0,4227.0,3830.0,6662.0,9881.0,8110.0,4227.0
2013.0,4243.0,3908.0,8116.0,11019.0,8191.0,3581.0
2012.0,4048.62,3669.63,7130.42,9696.84,8578.98,3071.4
2011.0,3790.26,3523.65,7424.83,8549.91,7069.8,3178.23
2010.0,3146.0,3014.0,6062.0,3742.0,5277.0,3221.0
2009.0,2680.0,2532.0,4846.0,4141.0,5197.0,2488.0
2008.0,2302.0,2113.0,4007.0,4212.0,4564.0,1969.0
2007.0,2233.15,2067.96,3609.17,3719.0,4246.18,1860.32
2006.0,1928.44,1655.15,2548.94,3061.08,4631.96,1934.73
2005.0,1624.81,1404.59,2283.22,2794.1,3415.78,1427.44
2004.0,1510.54,1248.29,,2781.62,3506.54,1390.08
2003.0,1413.0,1188.0,1960.0,2015.0,3006.05,932.88
2002.0,1326.0,1150.0,2155.0,1689.0,2605.0,1429.0
,,,,,,
