Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,7318.0,7308.0,,8074.0,8171.0,4768.0
2021.0,7678.0,7648.0,,8669.0,8533.0,5912.0
2020.0,7757.0,7560.0,,9088.0,10238.0,5380.0
2019.0,7293.0,7110.0,8802.0,8453.0,9324.0,5898.0
2018.0,6805.49,6539.84,8654.43,8569.33,9251.8,5550.51
2017.0,6150.0,5800.0,7773.0,8582.0,8808.0,5340.0
2016.0,5709.0,5331.0,7437.0,7634.0,9631.0,5508.0
2015.0,5358.0,5107.0,7768.0,6785.0,8683.0,5098.0
2014.0,5288.0,4971.0,7443.0,9085.0,8998.0,5084.0
2013.0,5203.0,4905.0,6573.0,9083.0,8172.0,5077.0
2012.0,4744.66,4381.18,7712.28,10643.66,7401.6,4417.3
2011.0,4147.7,3822.0,6730.22,9138.5,7492.44,3144.27
2010.0,3144.0,2959.0,5252.0,8256.0,5342.0,2863.0
2009.0,2643.0,2517.0,2747.0,4566.0,4677.0,2699.0
2008.0,2136.0,2022.0,3141.0,2840.0,4039.0,2057.0
2007.0,2071.89,1998.26,3189.43,3288.68,3366.37,1989.8
2006.0,1707.99,1590.6,3485.18,2379.26,3259.21,1587.95
2005.0,1528.68,1335.77,2472.97,2892.71,3079.74,1289.43
2004.0,1325.0,1158.0,,1306.0,2373.0,1090.0
2003.0,1210.0,964.0,1419.0,2028.0,2255.0,1459.66
2002.0,1062.0,907.0,1658.0,1342.0,1961.0,865.0
,,,,,,
