Years,商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米)
2022.0,14985.0,15672.0,,23726.0,12915.0,5666.0
2021.0,15930.0,16453.0,,23536.0,15764.0,6407.0
2020.0,15141.0,15335.0,,26551.0,15621.0,6518.0
2019.0,14262.0,14115.0,21832.0,25026.0,16922.0,7457.0
2018.0,13073.18,12915.25,17864.95,22244.07,15332.54,7317.1
2017.0,11776.0,11416.0,16573.0,21151.0,14529.0,7555.0
2016.0,11097.0,10936.0,15907.0,18328.0,13217.0,6764.0
2015.0,9796.0,9495.0,17220.0,18767.0,13037.0,6790.0
2014.0,9083.0,8526.0,12130.0,18605.0,15183.0,7598.0
2013.0,9090.0,8466.0,11327.0,20792.0,15678.0,7972.0
2012.0,8112.19,7667.89,10256.24,20497.63,12993.52,6724.48
2011.0,7879.17,7560.85,9661.19,17213.05,11877.42,6108.36
2010.0,7486.0,7004.0,8656.0,15238.0,12987.0,6817.0
2009.0,6513.0,6360.0,7389.0,13602.0,9043.0,4568.0
2008.0,5953.0,5723.0,6817.0,10554.0,8630.0,5296.0
2007.0,5914.3,5682.14,7011.03,12529.27,8153.21,4940.28
2006.0,4852.74,4588.62,7916.62,9893.41,7229.57,4268.04
2005.0,4442.76,4149.26,7331.2,8315.74,8105.03,3535.0
2004.0,3482.0,3298.3,,5713.35,5955.1,2873.81
2003.0,3195.0,2994.0,4293.0,5281.0,5475.24,2658.84
2002.0,3241.0,3022.0,4380.0,5258.0,5847.0,1982.0
,,,,,,
