Years,Average sales price of commercial housing (yuan/m^2),Average sales price of residential commercial buildings (yuan/m^2),Average sales price of villas and high-end apartments (yuan/m^2),Average sales price of commercial buildings in office buildings (yuan/m^2),Average sales price of commercial buildings (yuan/m^2),Average sales price of other commercial buildings (yuan/m^2)
2022.0,6804.0,7030.0,,8455.0,7761.0,2772.0
2021.0,7634.0,7869.0,,8068.0,9198.0,3811.0
2020.0,8173.0,8267.0,,10598.0,10593.0,4336.0
2019.0,7954.0,8010.0,7268.0,8423.0,9795.0,5842.0
2018.0,7517.49,7384.44,7757.21,10432.92,9628.75,4821.98
2017.0,5919.0,5664.0,6193.0,8039.0,8406.0,4685.0
2016.0,5269.0,4812.0,5491.0,8051.0,8513.0,4327.0
2015.0,5300.0,4800.0,5109.0,11353.0,8386.0,4239.0
2014.0,4998.0,4451.0,6771.0,11878.0,8846.0,3375.0
2013.0,4494.0,4176.0,5741.0,9083.0,7262.0,3477.0
2012.0,4209.19,3861.01,4185.26,7876.14,6567.08,4004.73
2011.0,3635.38,3388.41,3693.5,5259.51,6368.17,3041.28
2010.0,3158.0,2893.0,3547.0,6732.0,6490.0,3355.0
2009.0,2931.0,2723.0,3429.0,5472.0,5532.0,3560.0
2008.0,2680.0,2441.0,3230.0,4860.0,5203.0,3086.0
2007.0,2454.98,2295.74,3307.99,4350.55,4218.32,2979.24
2006.0,2380.17,2190.65,3237.87,3159.32,4257.28,2620.75
2005.0,2165.02,2000.84,2919.73,2181.93,3998.76,2506.7
2004.0,1977.51,1860.35,,3087.42,3073.58,2049.1
2003.0,1882.0,1775.0,2522.0,2572.0,3194.36,3250.32
2002.0,1913.0,1784.0,2383.0,2883.0,3823.0,3002.0
,,,,,,
