Years,房地产开发企业待开发土地面积(万平方米),房地产开发企业购置土地面积(万平方米),房地产开发企业土地成交价款(亿元),房地产开发企业土地购置费用(亿元)
2022,2582.09,234.24,129.82,913.96
2021,2553.39,631.2,417.4,1565.84
2020,2390.02,831.27,506.68,1726.4
2019,2731.03,858.15,458.2,1626.67
2018,2594.23,1018.43,498.93,1137.61
2017,2307.03,1015.47,534.87,951.9
2016,2475.98,1108.04,453.46,681.51
2015,1627.82,951.41,198.21,362.68
2014,1343.57,1116.16,233.94,352.8
2013,1309.6,1501.56,262.44,391.7
2012,1318.72,1742.63,216.73,307.36
2011,964.3,1565.92,184.74,292.68
2010,1222.1,2864.3,269.6,293.2
2009,911.4,2701.5,178.85,198.0
2008,1296.2,2094.6,188.48,195.3
2007,1062.03,1576.08,95.82,109.09
2006,907.6,1561.89,91.28,91.28
2005,763.5,2015.82,82.79,74.81
2004,,1517.24,73.79,59.33
2003,363.07,1081.79,41.8,38.55
2002,455.2,759.2,,26.9
