Years,房地产开发企业待开发土地面积(万平方米),房地产开发企业购置土地面积(万平方米),房地产开发企业土地成交价款(亿元),房地产开发企业土地购置费用(亿元)
2022,2434.85,288.32,221.1,1704.48
2021,1901.64,543.63,322.46,1664.37
2020,2102.03,988.0,620.71,1426.94
2019,2320.03,1056.69,553.07,1780.39
2018,2030.57,1520.1,742.95,1426.98
2017,1393.55,800.76,322.53,787.73
2016,1369.73,1304.72,381.6,832.27
2015,1638.12,1061.98,332.42,846.96
2014,1506.51,1535.43,475.97,823.54
2013,1248.29,1142.76,337.25,609.05
2012,1567.57,892.22,157.99,474.23
2011,1664.65,1054.73,242.32,415.25
2010,1191.0,1043.0,239.4,368.9
2009,1208.6,1046.8,143.43,243.8
2008,1853.0,1000.2,179.49,309.8
2007,878.77,1451.07,288.46,381.04
2006,1033.46,2488.75,221.22,221.22
2005,990.42,2038.32,163.19,176.7
2004,,2023.91,156.95,123.89
2003,225.89,87.21,2511.99,87.54
2002,497.3,1797.4,,63.3
