Years,年末常住人口(万人),城镇人口(万人),乡村人口(万人),人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
2022,6577,4826.0,1751.0,6.28,6.24,0.04
2021,6540,4752.0,1788.0,6.9,5.9,1.0
2020,6468,4668.0,1800.0,,,
2019,6375,4563.0,1812.0,10.51,5.52,4.99
2018,6273,4392.0,1881.0,11.02,5.58,5.44
2017,6170,4252.0,1918.0,11.92,5.56,6.36
2016,6072,4112.0,1960.0,11.22,5.52,5.7
2015,5985,3969.0,2016.0,10.52,5.5,5.02
2014,5890,3826.0,2064.0,10.51,5.51,5.0
2013,5784,3698.0,2086.0,10.01,5.45,4.56
2012,5685,3576.0,2109.0,10.12,5.52,4.6
2011,5570,3470.0,2100.0,9.47,5.4,4.07
2010,5447,3356.0,2090.0,10.27,5.54,4.73
2009,5276,3055.0,2221.0,10.22,5.59,4.63
2008,5212,3002.0,2210.0,10.2,5.62,4.58
2007,5155,2949.0,2206.0,10.38,5.57,4.81
2006,5072,2866.0,2206.0,10.29,5.42,4.87
2005,4991,2796.0,2195.0,11.1,6.08,5.02
2004,4925,,,10.71,5.76,4.95
2003,4857,,,9.66,6.38,3.28
2002,4776,,,9.98,6.19,3.79
