Years,年末常住人口(万人),城镇人口(万人),乡村人口(万人),人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
2022,6604,3983.0,2621.0,6.23,8.54,-2.31
2021,6622,3954.0,2668.0,7.13,8.28,-1.15
2020,6645,3905.0,2740.0,,,
2019,6640,3815.0,2825.0,10.39,7.28,3.11
2018,6635,3722.0,2913.0,12.19,7.08,5.11
2017,6633,3623.0,3010.0,13.27,7.08,6.19
2016,6625,3491.0,3134.0,13.57,7.01,6.56
2015,6615,3360.0,3255.0,13.58,6.86,6.72
2014,6611,3238.0,3373.0,13.52,6.89,6.63
2013,6600,3144.0,3456.0,13.5,6.96,6.54
2012,6590,3046.0,3544.0,13.58,7.01,6.57
2011,6581,2959.0,3622.0,13.35,6.8,6.55
2010,6570,2845.0,3725.0,13.1,6.7,6.4
2009,6406,2767.0,3639.0,13.05,6.94,6.11
2008,6380,2689.0,3691.0,12.68,7.28,5.4
2007,6355,2571.0,3784.0,11.96,6.71,5.25
2006,6342,2455.0,3887.0,11.92,6.73,5.19
2005,6326,2341.0,3985.0,11.9,6.75,5.15
2004,6698,,,11.89,6.8,5.09
2003,6663,,,11.82,6.87,4.95
2002,6629,,,11.56,6.7,4.86
