Years,年末常住人口(万人),城镇人口(万人),乡村人口(万人),人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
2022,4693,2427.0,2266.0,8.14,8.21,-0.07
2021,4690,2394.0,2296.0,9.35,8.12,1.23
2020,4722,2363.0,2359.0,,,
2019,4714,2294.0,2420.0,12.63,6.2,6.43
2018,4703,2231.0,2472.0,13.19,6.32,6.87
2017,4693,2172.0,2521.0,13.53,6.68,6.85
2016,4677,2088.0,2589.0,13.16,6.55,6.61
2015,4663,2002.0,2661.0,12.88,6.48,6.4
2014,4653,1918.0,2735.0,12.65,6.45,6.2
2013,4641,1856.0,2785.0,12.6,6.43,6.17
2012,4631,1782.0,2849.0,12.63,6.41,6.22
2011,4620,1690.0,2930.0,12.71,6.36,6.35
2010,4602,1597.0,3005.0,13.1,6.56,6.54
2009,4571,1554.0,3017.0,12.53,6.45,6.08
2008,4543,1499.0,3044.0,12.63,6.31,6.32
2007,4514,1426.0,3088.0,13.08,6.22,6.86
2006,4483,1367.0,3116.0,13.2,6.3,6.9
2005,4450,1313.0,3138.0,14.72,6.75,7.97
2004,4415,,,15.6,6.6,9.0
2003,4376,,,17.0,7.2,9.8
2002,4333,,,17.9,7.3,10.6
