Years,年末常住人口(万人),城镇人口(万人),乡村人口(万人),人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
2022,8374,4886.0,3488.0,6.39,9.04,-2.65
2021,8372,4841.0,3531.0,6.85,8.74,-1.89
2020,8371,4749.0,3622.0,,,
2019,8351,4623.0,3728.0,10.7,7.09,3.61
2018,8321,4452.0,3869.0,11.05,7.01,4.04
2017,8289,4292.0,3997.0,11.26,7.03,4.23
2016,8251,4126.0,4126.0,10.48,6.99,3.49
2015,8196,3956.0,4240.0,10.3,6.94,3.36
2014,8139,3785.0,4354.0,10.22,7.02,3.2
2013,8109,3646.0,4463.0,9.9,6.9,3.0
2012,8085,3505.0,4580.0,9.89,6.92,2.97
2011,8064,3375.0,4689.0,9.79,6.81,2.98
2010,8045,3232.0,4812.0,8.93,6.62,2.31
2009,8185,3168.0,5017.0,9.15,6.43,2.72
2008,8138,3044.0,5094.0,9.54,7.15,2.39
2007,8127,2893.0,5234.0,9.21,6.29,2.92
2006,8169,2802.0,5367.0,9.14,6.28,2.86
2005,8212,2710.0,5502.0,9.7,6.8,2.9
2004,8090,,,9.05,6.27,2.78
2003,8176,,,9.18,6.06,3.12
2002,8110,,,10.44,6.55,3.89
